0-38.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03f.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-3.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
03.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-4.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-41.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
041.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
042.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-43.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
043.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-4-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-45.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
049.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04.alpha.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-4.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-4.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
04.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
050f7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
050f-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
050f.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-5.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f004.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f00.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-0-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f03-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f034.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-0-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f03.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f05.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f060.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-6-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f065.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-69.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f06.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-0-8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-9-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-9-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0-97.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-12.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-1-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-19.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f14.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-5-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-62.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1-72.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f19-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f401.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f402.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f403.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f40.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f412.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f42-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f470.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f471.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f472.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f47-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f47.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f4-9-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f4-94.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f4-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f6-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f63.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f6-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f80.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f8-10.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f8-1-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f85.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f890.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f8.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f90.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f94.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
052f.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05-7.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
059f-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
059f-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
059f.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05f.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-5.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-5.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
05.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-60-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-20.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-26.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-62.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-3.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
063.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-641.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-64-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-647.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-650.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-5-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-5-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
065.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-67.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-68.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06-9.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
069.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06.im.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-6.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
06.iph.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0.6nullmx2-4.flr-all.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-7-0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-7.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
07.0.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
070.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-7-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
07-1.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-72.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
074.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-75-2.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-753.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-75.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
07-5.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
075.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-76.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
07-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
076.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-7-8-4.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
0-7-8-6.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
078.freebasics.com AS32934 AS32934 - FACEBOOK, INC. US 157.240.22.0/24
