1-8-appstore.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-8-en.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
18wus.facebookbrand-preprod.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
19.10-es-la.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-aisweb-3.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-av.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-cloudfrontru.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-cms1coressabores2012.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-en-9.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-js4h97ik0qtb.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
1-ru.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
360.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
360video.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
360videos.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
4.www.1.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
9i.facebookbrand-release.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
a.10zh-hant.facebookbrand-2018-dev.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
about.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
abpstories.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
access.fb.com AS2635 AS2635 - AUTOMATTIC, INC US 192.0.66.0/24
acs.global.dev.us-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 34.208.0.0/12
acs.global.prod.ap-south-1.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.108.0.0/14
acs.global.prod.ap-southeast-1.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 18.136.0.0/16
acs.global.prod.eu-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.56.0.0/16
acs.global.prod.us-east-1.vdi.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
acs.global.prod.us-east-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 18.220.0.0/14
acs.global.prod.us-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
acs.regional.dev.us-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.40.0.0/14
acs.regional.prod.ap-south-1.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 3.108.0.0/14
acs.regional.prod.ap-southeast-1.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.76.128.0/17
acs.regional.prod.eu-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 52.56.0.0/16
acs.regional.prod.us-east-1.vdi.fb.com AS14618 AS14618 - AMAZON.COM, INC. US 18.232.0.0/14
acs.regional.prod.us-east-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 18.220.0.0/14
acs.regional.prod.us-west-2.vdi.fb.com AS16509 AS16509 - AMAZON.COM, INC. US 44.224.0.0/11
