[http] collector-8.newrelic.com:80
[http] collector-9.newrelic.com:80
[http] collector.newrelic.com:80
[http] collector-pool-10.newrelic.com:80
[http] collector-pool-1.newrelic.com:80
[http] collector-pool-2.newrelic.com:80
[http] collector-pool-3.newrelic.com:80
[http] collector-pool-4.newrelic.com:80
[http] collector-pool-5.newrelic.com:80
[http] collector-pool-6.newrelic.com:80
[http] collector-pool-7.newrelic.com:80
[http] collector-pool-8.newrelic.com:80
[http] collector-pool-9.newrelic.com:80
[http] collector-pool.newrelic.com:80
[http] collector-pool.staging-collectors.newrelic.com:80
[http] connect.newrelic.com:80
[http] cube.newrelic.com:80
[http] customeremails-app2.service.eu.newrelic.com:80
[http] developer.newrelic.com:80
[http] dev-infrastructure.newrelic.com:80
[http] dev-insights-embed.newrelic.com:80
[http] dev-insights.newrelic.com:80
[http] dev.newrelic.com:80
[http] dev-radar.newrelic.com:80
[http] dev-support.newrelic.com:80
[http] discuss.newrelic.com:80
[http] docs.newrelic.com:80
[http] docs-preview.newrelic.com:80
[http] docs-staging.newrelic.com:80
[http] download.newrelic.com:80
[http] email.alerts.newrelic.com:80
[http] email.internal.newrelic.com:80
[http] frame-account.eu.newrelic.com:80
[http] frame-account.newrelic.com:80
[http] frame-alerts.eu.newrelic.com:80
[http] frame-alerts.newrelic.com:80
[http] frame-infrastructure.eu.newrelic.com:80
[http] frame-infrastructure.newrelic.com:80
[http] frame-maps.eu.newrelic.com:80
[http] frame-maps.newrelic.com:80
[http] frame-rpm.eu.newrelic.com:80
[http] frame-rpm.newrelic.com:80
[http] frame-staging-account.newrelic.com:80
[http] frame-staging-infrastructure.newrelic.com:80
[http] frame-staging.newrelic.com:80
[http] frame-synthetics.eu.newrelic.com:80
[http] frame-synthetics.newrelic.com:80
[http] gatsby-theme-demo.newrelic.com:80
[http] get.newrelic.com:80
[http] gnax.newrelic.com:80
[http] got.newrelic.com:80
[http] gov-collector.newrelic.com:80
[http] gov-insights-collector.newrelic.com:80
[http] helix.newrelic.com:80
[http] helix-service.newrelic.com:80
[http] helm-charts.newrelic.com:80
[http] heroku.newrelic.com:80
[http] heroku-staging.newrelic.com:80
[http] hypertext-admin.eu.newrelic.com:80
[http] infra-api.newrelic.com:80
[http] infra.newrelic.com:80
[http] infrastructure-api.newrelic.com:80
[http] infrastructure-data.newrelic.com:80
[http] infrastructure.eu.newrelic.com:80
[http] infrastructure.newrelic.com:80
[http] infrastructure-seldon.eu.newrelic.com:80
[http] infrastructure-seldon.newrelic.com:80
[http] ingest-integration.newrelic.com:80
[http] ingest-test-api.eu.newrelic.com:80
[http] ingest-test-api.eu.newrelic.com:8008
[http] insights-api.eu.newrelic.com:80
[http] insights-api.newrelic.com:80
[http] insights-collector.newrelic.com:80
[http] insights-embed.eu.newrelic.com:80
[http] insights-embed.newrelic.com:80
[http] insights.eu.newrelic.com:80
[http] insights.newrelic.com:80
[http] integration-alerts.newrelic.com:80
[http] integration.newrelic.com:80
[http] issues.newrelic.com:80
[http] js-agent.newrelic.com:80
[http] jserrors-query-service.service.newrelic.com:80
[http] kayoyon.service.newrelic.com:80
[http] learn.newrelic.com:80
[http] legacy-service-2.newrelic.com:80
[http] legacy-service.newrelic.com:80
[http] log-api.eu.newrelic.com:80
[http] log-api.newrelic.com:80
[http] login-origin.newrelic.com:80
[http] maps.eu.newrelic.com:80
[http] maps.newrelic.com:80
[http] marketing-contents.newrelic.com:80
[http] meetme.newrelic.com:80
[http] metric-api.newrelic.com:80
[http-mgmt] ingest-test-api.eu.newrelic.com:280
[http] mobile-collector.newrelic.com:80
[http] mobile-collector-origin.newrelic.com:80
[http] mobile-data-api.eu.newrelic.com:80
[http] mobile-data-api.newrelic.com:80
[http] mobile-symbol-upload.eu.newrelic.com:80
[http] nerd-graph.eu.newrelic.com:80
[http] nerd-graph.newrelic.com:80
[http] newrelic.com:80
[http] next-support.newrelic.com:80
[http] npi.newrelic.com:80
[http] nr1-edge-test.one.newrelic.com:80
[http] nrpn.newrelic.com:80
[http] one.eu.newrelic.com:80
[http] one.newrelic.com:80
[http] opensource.newrelic.com:80
[http] partner-admin-console.newrelic.com:80
[http] phpfog.newrelic.com:80
[http] platform-api.newrelic.com:80
[http] plugins.newrelic.com:80
[http] portal.newrelic.com:80
[http] prometheus-api.eu.newrelic.com:80
[http] prometheus-api.newrelic.com:80
[http-proxy] aws-api.newrelic.com:8080
[http-proxy] cloud-collector.newrelic.com:8080
[http-proxy] collector-001.newrelic.com:8080
[http-proxy] collector-002.newrelic.com:8080
[http-proxy] collector-003.newrelic.com:8080
[http-proxy] collector-004.newrelic.com:8080
[http-proxy] collector-005.newrelic.com:8080
[http-proxy] collector-006.newrelic.com:8080
[http-proxy] collector-007.newrelic.com:8080
[http-proxy] collector-008.newrelic.com:8080
[http-proxy] collector-009.newrelic.com:8080
[http-proxy] collector-010.newrelic.com:8080
[http-proxy] collector-0.newrelic.com:8080
[http-proxy] collector-2.staging-collectors.newrelic.com:8080
[http-proxy] collector.newrelic.com:8080
[http-proxy] collector-pool.staging-collectors.newrelic.com:8080
[http-proxy] get.newrelic.com:8080
[http-proxy] infra-api.newrelic.com:8080
[http-proxy] infrastructure-api.newrelic.com:8080
[http-proxy] ingest-integration.newrelic.com:8080
[http-proxy] ingest-test-api.eu.newrelic.com:8080
[http-proxy] insights-collector.newrelic.com:8080
[http-proxy] log-api.eu.newrelic.com:8080
[http-proxy] log-api.newrelic.com:8080
[http-proxy] metric-api.newrelic.com:8080
[http-proxy] mobile-collector.newrelic.com:8080
[http-proxy] staging-aws-api.newrelic.com:8080
[http-proxy] staging-cloud-collector.newrelic.com:8080
[http-proxy] staging-collector-001.newrelic.com:8080
[http-proxy] staging-collector-101.newrelic.com:8080
[http-proxy] staging-collector-102.newrelic.com:8080
[http-proxy] staging-collector.newrelic.com:8080
[http-proxy] staging-collector-pool.newrelic.com:8080
[http-proxy] staging-infra-api.newrelic.com:8080
[http-proxy] staging-insights-collector.newrelic.com:8080
